PublishedAgo,Salary,Rating,Employer,JobTitle,Location,Size,Founded,Type,Industry,Sector,Revenue
4d,$113K - $162K (Glassdoor est.),4.3,"MIT
4.3",Machine Learning Engineer,"Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
30d+,$117K - $214K (Employer est.),4.4,"Adobe
4.4",Machine Learning Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
30d+,-1,4.2,"Virtualitics
4.2",Frontend Engineer,Remote,51 to 200 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
30d+,$87K - $147K (Employer est.),4.2,"Affinity.co
4.2",Machine Learning Engineer,Remote,201 to 500 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
18d,-1,4.5,"Dropbox
4.5","Principal Software Engineer, New Initiatives",United States,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
17d,-1,3.8,"Körber
3.8",QA Engineer,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
30d+,$60K - $89K (Glassdoor est.),3.4,"Paradyme Management
3.4",Junior AI/ML Software Developer,"Washington, DC",51 to 200 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
30d+,$129K - $195K (Employer est.),3.5,"TikTok
3.5",Frontend Software Engineer,"Seattle, WA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
30d+,$120K - $160K (Employer est.),4.0,"Honeywell
4.0",Software Engineering Co-op (Fall 2023),"Mason, OH",10000+ Employees,1885,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
30d+,$136K - $194K (Glassdoor est.),3.5,"Discord
3.5",Staff Software Engineer - Applied Machine Learning,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
30d+,-1,4.8,"Writesonic
4.8",Senior Frontend Engineer,Remote,1 to 50 Employees,2021,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
30d+,$95K - $165K (Glassdoor est.),4.0,"Sony Electronics
4.0",AI Engineer (AI Ethics),"New York, NY",10000+ Employees,1946,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
30d+,$85K - $133K (Glassdoor est.),5.0,"Axios HQ
5.0",Machine Learning Engineer,"Arlington, VA",Unknown,2021,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
1d,$160K - $190K (Employer est.),5.0,"MindsDB
5.0",Applied Machine Learning Engineer,"San Francisco, CA",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
